word,characters,vowels,frequency
now,3,1,2
it,2,1,11
all,3,1,8
started,7,2,1
two,3,1,5
thanksgivin,11,3,6
s,1,0,7
ago,3,2,2
was,3,1,22
on,2,1,16
years,5,2,2
when,4,1,5
my,2,0,3
friend,6,2,1
nd,2,0,1
i,1,1,17
went,4,1,4
up,2,1,12
to,2,1,33
visit,5,2,1
alice,5,3,6
at,2,1,11
the,3,1,89
restaurant,10,4,3
but,3,1,4
doesn,5,2,1
t,1,0,17
live,4,2,1
in,2,1,19
she,3,1,1
lives,5,2,1
church,6,1,3
nearby,6,2,1
bell,4,1,2
tower,5,2,2
with,4,1,13
her,3,1,1
husband,7,2,1
ray,3,1,1
n,1,0,41
facha,5,2,1
dog,3,1,5
livin,5,2,1
like,4,2,1
that,4,1,20
they,4,1,9
got,3,1,8
a,1,1,32
lot,3,1,1
of,2,1,28
room,4,2,2
downstairs,10,3,1
where,5,2,2
pews,4,1,2
used,4,2,3
be,2,1,7
havin,5,2,1
seein,5,3,1
as,2,1,3
how,3,1,1
took,4,2,7
out,3,2,8
decided,7,3,4
didn,4,1,5
have,4,2,3
take,4,2,2
their,5,2,1
garbage,7,3,12
for,3,1,7
long,4,1,1
time,4,2,1
we,2,1,32
there,5,2,8
found,5,2,2
and,3,1,9
d,1,0,1
friendly,8,2,1
gesture,7,3,1
us,2,1,8
down,4,1,10
city,4,1,2
dump,4,1,4
so,2,1,6
half,4,1,2
ton,3,1,2
put,3,1,5
back,4,1,11
red,3,1,2
vw,2,0,2
microbus,8,3,2
shovels,7,2,2
rakes,5,2,2
implements,10,3,2
destruction,11,4,2
headed,6,3,2
toward,6,2,2
well,4,1,1
big,3,1,2
sign,4,1,1
an,2,1,28
chain,5,2,1
across,6,2,1
sayin,5,2,1
closed,6,2,2
had,3,1,9
never,5,2,2
heard,5,2,1
before,6,3,1
tears,5,2,1
our,3,2,1
eyes,4,2,1
drove,5,2,3
off,3,1,2
into,4,2,1
sunset,6,2,1
lookin,6,3,1
another,7,3,4
place,5,2,1
find,4,1,1
one,3,2,12
til,3,1,1
came,4,2,5
side,4,2,4
road,4,2,2
fifteen,7,3,1
foot,4,2,1
cliff,5,1,2
bottom,6,2,2
pile,4,2,2
better,6,2,1
than,4,1,2
little,6,2,1
piles,5,2,1
rather,6,2,1
bring,5,1,1
throw,5,1,1
ours,4,2,1
what,4,1,6
did,3,1,3
dinner,6,2,2
couldn,6,2,4
beat,4,2,2
sleep,5,2,1
get,3,1,4
until,5,2,2
next,4,1,2
mornin,6,2,2
phone,5,2,1
call,4,1,1
from,4,1,1
officer,7,3,6
obie,4,3,16
he,2,1,11
said,4,2,12
kid,3,1,4
your,4,2,3
name,4,2,1
envelope,8,4,2
just,4,1,1
wanted,6,2,2
know,4,1,1
if,2,1,1
you,3,2,6
any,3,1,3
information,11,5,1
about,5,3,6
yes,3,1,1
sir,3,1,1
cannot,6,2,1
tell,4,1,2
lie,3,2,1
under,5,2,1
after,5,2,2
speakin,7,3,1
forty,5,1,1
five,4,2,3
minutes,7,3,1
telephone,9,4,2
finally,7,2,1
arrived,7,3,1
truth,5,1,1
matter,6,2,1
go,2,1,3
pick,4,1,3
also,4,2,1
speak,5,2,1
him,3,1,1
police,6,3,9
station,7,3,5
friends,7,2,2
only,4,1,1
o,1,1,1
things,6,1,1
could,5,2,4
done,4,2,1
first,5,1,1
give,4,2,1
medal,5,2,1
bein,4,2,2
brave,5,2,1
honest,6,2,1
which,5,1,2
wasn,4,1,3
very,4,1,1
likely,6,2,1
expect,6,2,1
other,5,2,1
thing,5,1,1
bawled,6,2,1
told,4,1,1
seen,4,2,1
drivin,6,2,1
aroun,5,3,1
vicinity,8,3,1
again,5,3,1
is,2,1,2
expected,8,3,1
third,5,1,1
possibility,11,4,1
hadn,4,1,1
even,4,2,1
counted,7,3,1
upon,4,2,1
both,4,1,1
immediately,11,5,1
arrested,8,3,1
handcuffed,10,3,1
don,3,1,3
think,5,1,2
can,3,1,2
these,5,2,1
handcuffs,9,2,1
shut,4,1,1
patrol,6,2,2
car,3,1,3
sat,3,1,6
quote,5,3,1
scene,5,2,2
crime,5,2,3
unquote,7,4,1
wanna,5,2,1
bout,4,2,1
town,4,1,1
stockbridge,11,3,1
massachusetts,13,4,1
this,4,1,1
happenin,8,3,1
here,4,2,1
three,5,2,2
stop,4,1,1
signs,5,1,1
officers,8,3,2
cars,4,1,1
biggest,7,2,1
last,4,1,1
fifty,5,1,2
everybody,9,3,1
newspaper,9,3,1
story,5,1,1
usin,4,2,1
kinds,5,1,1
cop,3,1,1
equipment,9,4,1
hangin,6,2,2
around,6,3,1
takin,5,2,1
plaster,7,2,1
tire,4,2,1
track,5,1,1
footprints,10,3,1
smellin,7,2,1
prints,6,1,1
twenty,6,1,6
seven,5,2,6
eight,5,2,6
by,2,0,7
ten,3,1,6
colored,7,3,6
glossy,6,1,6
photographs,11,3,1
circles,7,2,5
arrows,6,2,5
paragraph,9,3,5
each,4,2,7
explainin,9,4,2
evidence,8,4,2
against,7,3,2
pictures,8,3,6
approach,8,3,1
getaway,7,3,1
northwest,9,2,1
corner,6,2,2
southwest,9,3,1
not,3,1,1
mention,7,3,1
aerial,6,4,1
photography,11,3,1
ordeal,6,3,1
jail,4,2,2
gonna,5,2,4
cell,4,1,3
m,1,0,1
want,4,1,3
wallet,6,2,2
belt,4,1,2
understand,10,3,1
wantin,6,2,1
money,5,2,1
spend,5,1,1
do,2,1,2
hang,4,1,1
myself,6,1,2
litterin,8,3,1
makin,5,2,1
sure,4,2,2
cause,5,3,2
toilet,6,3,3
seat,4,2,1
hit,3,1,1
over,4,2,1
head,4,2,1
drown,5,1,1
paper,5,2,2
bend,4,1,1
bars,4,1,1
roll,4,1,3
window,6,2,1
slide,5,2,1
escape,6,3,1
making,6,2,1
four,4,2,1
or,2,1,1
hours,5,2,1
later,5,2,1
remember,8,3,1
song,4,1,1
few,3,1,1
nasty,5,1,1
words,5,1,1
bailed,6,3,1
court,5,2,1
walked,6,2,2
man,3,1,1
rise,4,2,1
stood,5,2,2
judge,5,2,2
seeing,6,3,3
eye,3,2,3
looked,6,3,2
then,4,1,2
began,5,2,1
cry,3,0,1
realization,11,6,1
typical,7,2,1
case,4,2,1
american,8,4,1
blind,5,1,1
justice,7,3,1
nothin,6,2,1
look,4,2,1
fined,5,2,1
dollars,7,2,1
snow,4,1,1
